ID,Checker,Type,Impact,File,Line,Function,Classification,Merge key,CID,Disposition Comment,Defect Status
95,OVERRUN,Out-of-bounds write,High,/ats_core_common/DL_ATN_App_VOB/ADSC/ContractMgr/src/ADSC_Contract_NonReportMsg_Generation.c,1260,"fnadsc_cntrtmgr_process_start_ind_ID(unsigned int, unsigned char)",Unclassified,c4d565991ef624b344b6a8c03650037a,Unavailable,"The else block at line 1258 executes when ui_conn_index >= MAX_NUM_ADS_CONNECTIONS (bounds check fails at line 1254), guaranteeing an out-of-bounds write to gs_byDsiStartInd[ui_conn_index] at line 1260.
Proposed Fix: Remove the else block entirely so that gs_byDsiStartInd is only written when ui_conn_index is within valid range",True Positive
96,OVERRUN,Out-of-bounds access,High,/ats_core_common/DL_Super_ASN_VOB/SuperASN/src/Asn1_ss_convert_fans_downlink_to_super.cpp,1633,"fnSS_convert_fans_to_super_Procedurename(FANS::Procedurename const *, ATN::ProcedureName *)",Unclassified,8268fb700854e07d55f035706f201eb7,Unavailable,"FANS::Procedurename::procedure and ATN::ProcedureName::procedure are ASN.1-generated fixed-length fields with matching sizes. maxProcedure corresponds to the ASN.1-defined ProcedureName length, therefore the memcpy() at line 1633 remains within the bounds of the source and destination buffers.",False Positive
97,OVERRUN,Out-of-bounds access,High,/ats_core_common/DL_ATN_App_VOB/CPDLC/Common/src/CPDLC.c,940,ATN_Abort_NDA(char const *),Unclassified,f37aac4821be81947ed71b7b2ad0a2c7,Unavailable,"SM_cda_info[uiMAX_ICAO_PEER_ID+1] is zero-initialized at declaration at line 924 in ATN_Abort_NDA(), SM_get_cda() fills it within its declared bounds and strlen(SM_cda_info) at line 942 validates the content before any further use.",False Positive
98,OVERRUN,Out-of-bounds access,High,/ats_core_common/DL_ATN_App_VOB/DSIUser/src/DSIUsrPrmtvProc.cpp,612,"DSIUsrPrmtvProc::fnParseDDataInd(unsigned char *, unsigned char *, DSIUserDataParams *, DSIPrimitive *)",Unclassified,fd67049e59ad2660f3d836f84b98eb8c,Unavailable,"upUserDataParams buffer is memset(0, sizeof(DSIUserDataParams)) at line 606 in fnParseDDataInd() before the call at line 612, dwVarOffset is initialized to 0 at line 600 and the array access is within the bounds of the DSIPrimitive structure own data field.",False Positive
99,OVERRUN,Out-of-bounds access,High,/ats_core_common/DL_ATN_App_VOB/DSIUser/src/DSIUsrPrmtvProc.cpp,645,"DSIUsrPrmtvProc::fnParseDEndInd(unsigned char *, unsigned char *, DSIUserDataParams *, DSIPrimitive *)",Unclassified,a8b86692d1b72020249ea635572711b4,Unavailable,"upUserDataParams buffer is memset(0, sizeof(DSIUserDataParams)) at line 639 in fnParseDEndInd() before the call at line 645, dwVarOffset is initialized to 0 at line 633 and the access is within the bounds of the DSIPrimitive structure own data field.",False Positive
100,OVERRUN,Out-of-bounds read,High,/ats_core_common/DL_ATN_App_VOB/ADSC/ReportMgr/src/ADSC_Event_Cntrt_Rpt.c,4032,fnadsc_rptmgr_process_ec_rpt(),Unclassified,9a6ce0440d62da54867b40f53d3453d1,Unavailable,"gs_ec_rpt_tbl[ui_conn_index] is read at line 4032. ui_conn_index is cast from si_conn_prity[ui_prty_idx] at line 4029 after the <= MAX check, allowing ui_conn_index = MAX_NUM_ADS_CONNECTIONS. Array is 0 to MAX-1, off-by-one off-by-one read.
Proposed Fix: Same single-char fix at line 4025: < instead of <= eliminates this access.",True Positive
101,OVERRUN,Out-of-bounds write,High,/ats_core_common/DL_ATN_App_VOB/ADSC/ReportMgr/src/ADSC_Event_Cntrt_Rpt.c,4035,fnadsc_rptmgr_process_ec_rpt(),Unclassified,9a6ce0440d62da54867b40f53d3453d1,Unavailable,"gs_ec_rpt_tbl[ui_conn_index].b_prev_emrgy_urgy_sts is written at line 4035 with ui_conn_index that passed the <= MAX check. Off-by-one from <= allows write past the end of gs_ec_rpt_tbl array.
Proposed Fix: Same single-char fix at line 4025: < instead of <= eliminates this access.",True Positive
102,OVERRUN,Out-of-bounds access,High,/ats_core_common/DL_ATN_App_VOB/ADSC/ReportMgr/src/ADSC_Event_Cntrt_Rpt.c,1049,"fnadsc_rptmgr_send_ec_report(unsigned int, unsigned int, unsigned int const *)",Unclassified,500a1939344da53a380baf011feb6b0f,Unavailable,"fnadsc_rptmgr_create_fmf_nonpred_dgrps_rpt at line 1049 is called with ui_conn_index without a bounds check at this call site. ui_conn_index validity depends on caller no local guard before this array-index-dependent function call.
Proposed Fix: Add if (ui_conn_index < MAX_NUM_ADS_CONNECTIONS) wrapping the call at line 1049.",True Positive
103,OVERRUN,Out-of-bounds access,High,/ats_core_common/DL_FANS_App_VOB/ADS/ADS_Management/src/Ads_External_Iface.cpp,706,Ads_external_iface::send_dnlnk_msg(Ads_common_types::Downlink_Buffer_Rec *),Unclassified,030f50d7ec87e3f63838aab4c94332ba,Unavailable,"The downlink buffer used in Ads_external_iface::send_dnlnk_msg() is defined by Downlink_Buffer_Rec, which includes its own length information. The copy at line 706 uses this defined buffer length, preventing access beyond the allocated buffer.",False Positive
104,OVERRUN,Out-of-bounds access,High,/ats_core_common/DL_ATN_App_VOB/ADSC/ReportMgr/src/ADSC_Validate_fmf_pred_Rpt_Data.c,1223,fnadsc_rptmgr_val_single_lvl_cons(ATS_CORE_IFACE_TYPES::adsc_LevelConstraint_single_level *),Unclassified,47a5000afc7f928c5c308de55fc71b4a,Unavailable,"memset at line 1223 writes to st_single_lvl_cons_ptr->levelConstraintsinglelevel[ui_count]. ui_count is incremented in the outer loop but its maximum value is not verified against the array size of levelConstraintsinglelevel.
Proposed Fix: Add if (ui_count < ARRAY_SIZE(levelConstraintsinglelevel)) before the memset at line 1223
",True Positive
105,OVERRUN,Out-of-bounds access,High,/ats_core_common/DL_ATN_App_VOB/ADSC/ReportMgr/src/ADSC_Event_Cntrt_Rpt.c,1057,"fnadsc_rptmgr_send_ec_report(unsigned int, unsigned int, unsigned int const *)",Unclassified,500a1939344da53a380baf011feb6b0f,Unavailable,"fnadsc_rptmgr_create_fmf_pred_dgrps_rpt at line 1057 receives ui_conn_index without local bounds check. If ui_conn_index has the off-by-one value from upstream <= check, the function accesses gs_ec_rpt_tbl out-of-bounds.
Proposed Fix: Add if (ui_conn_index < MAX_NUM_ADS_CONNECTIONS) wrapping the call at line 1057",True Positive
106,OVERRUN,Out-of-bounds read,High,/ats_core_common/DL_FANS_App_VOB/FANS_ATC/AFN/src/AFN_C_Downlink.cpp,1161,afn_construct_complete_msg(),Unclassified,71ab0ebb626b10fae31d5c435266ac73,Unavailable,"g_st_afn_dlqm_buffer is initialized before afn_construct_complete_msg() is called. ui_index is updated using fixed and bounded field lengths, so the access at line 1161 remains within the buffer limits",False Positive
107,OVERRUN,Out-of-bounds write,High,/ats_core_common/DL_FANS_App_VOB/FANS_ATC/AFN/src/AFN_C_Downlink.cpp,1308,afn_construct_response_msg(),Unclassified,153b56a27ef7b563b40a46c102b20608,Unavailable,"g_st_afn_dlqm_buffer is initialized before afn_construct_response_msg() is called. ui_index is updated using fixed and bounded field lengths, so the access at line 1308 remains within the buffer limits.",False Positive
108,OVERRUN,Out-of-bounds write,High,/ats_core_common/DL_FANS_App_VOB/FANS_ATC/AFN/src/AFN_C_Downlink.cpp,1164,afn_construct_complete_msg(),Unclassified,71ab0ebb626b10fae31d5c435266ac73,Unavailable,"g_st_afn_dlqm_buffer is initialized before afn_construct_complete_msg() is called. ui_index is tracked using bounded field lengths, so the write at line 1164 remains within the buffer limits.",False Positive
